OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2025-10-30T11:11:00.041280,15.06391930,.00015413,53.0546,51.2122,96.2547,263.8618,0,U,44714,999,32912,.37116826E-4,.271E-5,0
STARLINK-1010,2019-074D,2025-10-31T08:00:03.000384,15.99497267,.00054594,53.0420,332.7992,58.3982,91.4497,0,U,44716,999,598,.95847519E-3,.486755E-2,.11302247E-3
STARLINK-1011,2019-074E,2025-10-31T08:00:03.000384,15.85558129,.00040002,53.0488,29.9177,315.2180,199.0118,0,U,44717,999,599,.12668329E-2,.323068E-2,0
STARLINK-1012,2019-074F,2025-10-30T17:01:18.058656,15.06391321,.00019058,53.0546,50.1200,127.1563,232.9601,0,U,44718,999,32915,-.32990162E-4,-.773E-5,0
STARLINK-1017,2019-074L,2025-10-30T11:45:57.160224,15.14903200,.00014469,53.0504,47.7598,230.1274,129.9592,0,U,44723,999,32917,.32114641E-2,.60717E-3,0
STARLINK-1019,2019-074M,2025-10-31T08:00:03.000384,15.14484242,.000092,53.0542,47.1497,77.6700,178.9585,0,U,44724,999,580,.92269391E-1,.1899582E-1,0
STARLINK-1020,2019-074N,2025-10-30T15:28:26.121792,15.06410994,.00015042,53.0537,70.4119,92.3894,267.7267,0,U,44725,999,32886,.70014123E-4,.762E-5,0
STARLINK-1031,2019-074Z,2025-10-30T13:36:26.140608,15.47375704,.00050622,53.0496,40.3472,238.2483,121.8031,0,U,44736,999,32929,.23237165E-2,.122321E-2,0
STARLINK-1036,2019-074AE,2025-10-30T17:46:25.543488,15.06395451,.00014212,53.0551,69.9805,88.3882,271.7269,0,U,44741,999,32888,.3850798E-5,-.224E-5,0
STARLINK-1039,2019-074AH,2025-10-30T19:26:56.638464,15.12724963,.00057213,53.0507,87.6642,145.6909,214.4453,0,U,44744,999,32864,.34619927E-2,.61604E-3,0
